CTUID,CT_Name,Pct_Owner_STIR_30plus,Median_Household_Income_2020
5350378.28,5350378.28,20.6,111000.0
5350400.02,5350400.02,20.8,140000.0
5350400.03,5350400.03,16.9,125000.0
5350400.04,5350400.04,28.0,97000.0
5350400.06,5350400.06,15.3,131000.0
5350400.07,5350400.07,17.3,128000.0
5350400.08,5350400.08,34.8,59600.0
5350400.11,5350400.11,24.8,112000.0
5350400.12,5350400.12,25.8,106000.0
5350400.13,5350400.13,35.5,105000.0
5350400.14,5350400.14,28.6,102000.0
5350400.15,5350400.15,17.6,130000.0
5350400.16,5350400.16,19.7,148000.0
5350400.17,5350400.17,34.7,94000.0
5350400.18,5350400.18,33.3,80000.0
5350400.19,5350400.19,25.2,117000.0
5350400.20,5350400.20,33.0,128000.0
5350400.21,5350400.21,31.7,102000.0
5350400.22,5350400.22,29.9,137000.0
5350400.23,5350400.23,31.9,112000.0
5350401.04,5350401.04,26.6,95000.0
5350401.05,5350401.05,49.5,58800.0
5350401.06,5350401.06,33.8,103000.0
5350401.07,5350401.07,31.4,113000.0
5350401.08,5350401.08,28.0,130000.0
5350401.09,5350401.09,31.1,97000.0
5350401.10,5350401.10,27.0,122000.0
5350401.11,5350401.11,26.6,102000.0
5350401.13,5350401.13,31.5,69500.0
5350401.14,5350401.14,22.1,135000.0
5350401.15,5350401.15,26.7,89000.0
5350401.17,5350401.17,30.7,100000.0
5350401.18,5350401.18,46.6,64500.0
5350401.19,5350401.19,30.1,83000.0
5350401.20,5350401.20,29.3,99000.0
5350401.21,5350401.21,26.7,98000.0
5350401.22,5350401.22,31.0,94000.0
5350401.23,5350401.23,29.6,115000.0
5350402.01,5350402.01,18.1,118000.0
5350402.02,5350402.02,46.1,71000.0
5350402.03,5350402.03,38.5,95000.0
5350402.04,5350402.04,26.3,121000.0
5350402.05,5350402.05,31.2,147000.0
5350402.06,5350402.06,31.7,81000.0
5350402.07,5350402.07,27.1,110000.0
5350402.08,5350402.08,25.6,105000.0
5350402.09,5350402.09,23.2,92000.0
5350402.10,5350402.10,26.3,102000.0
5350402.12,5350402.12,41.4,68500.0
5350402.13,5350402.13,19.6,150000.0
5350403.01,5350403.01,30.3,124000.0
5350403.04,5350403.04,24.5,127000.0
5350403.05,5350403.05,34.5,132000.0
5350403.07,5350403.07,35.9,114000.0
5350403.09,5350403.09,28.4,117000.0
5350403.10,5350403.10,30.2,100000.0
5350403.11,5350403.11,30.9,120000.0
5350403.12,5350403.12,26.0,136000.0
5350403.13,5350403.13,25.7,103000.0
5350403.14,5350403.14,29.7,102000.0
5350403.15,5350403.15,31.0,121000.0
5350403.16,5350403.16,28.8,107000.0
5350410.02,5350410.02,19.5,113000.0
5350410.03,5350410.03,26.2,120000.0
5350410.04,5350410.04,17.8,129000.0
5350410.05,5350410.05,25.1,170000.0
5350410.07,5350410.07,18.8,137000.0
5350410.09,5350410.09,38.3,81000.0
5350410.10,5350410.10,29.7,104000.0
5350410.11,5350410.11,18.8,113000.0
5350410.12,5350410.12,47.8,61200.0
5350410.13,5350410.13,19.0,172000.0
